the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.70205280026559 41.89080312095962),400143,1903430.86803,1156133.52679,Options,HS,"10, 11","500 N SACRAMENTO BLVD, 60612",YCCS - WEST TOWN
POINT (-87.74881028902938 41.90224003146582),400144,1907508.27556,1143374.0674,Options,HS,"10, 11, 12","4909 W DIVISION ST, 60651",YCCS - WESTSIDE HOLISTIC
POINT (-87.62678146982476 41.83207205772944),400145,1882189.15396,1176804.45822,Options,HS,"10, 11, 12","3424 S STATE ST, 60616",YCCS - YOUTH CONNECTION
POINT (-87.74661383938387 41.891816141953214),400146,1903713.89864,1143997.98282,Traditional,ES,"4, 5, 6, 7, 8","4818 W OHIO ST, 60644",KIPP - ACADEMY
POINT (-87.6537265378718 41.691969313672274),400147,1831077.64233,1169864.49867,Options,HS,"9, 10, 11, 12","1257 W 111TH ST, 60643",CAMELOT - EXCEL HS
POINT (-87.68406493865558 41.84544601504087),400164,1886939.37477,1161156.24936,Options,HS,"9, 10, 11, 12","2570 S BLUE ISLAND AVE, 60608",INSTITUTO - LOZANO HS
POINT (-87.71102498480566 41.801762245391835),400149,1870966.84504,1153925.70476,Traditional,HS,"8, 9, 10, 11","5025 S SAINT LOUIS AVE, 60632",ACERO - SOTO HS
POINT (-87.60697990879785 41.73013138418161),400150,1845087.6714,1182514.7319,Options,HS,"10, 11, 12","9035 S LANGLEY AVE, 60619",YCCS - CHATHAM
POINT (-87.7014173913643 41.88731749028673),400151,1902161.98048,1156315.88896,Traditional,ES,"K, 1, 2, 3, 4, 5","3021 W CARROLL AVE, 60612",LEARN - 7
POINT (-87.69323838455642 41.81310944439286),400153,1875137.31078,1158744.54388,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","4420 S FAIRFIELD AVE, 60632",ACERO - BRIGHTON PARK
POINT (-87.60257331721643 41.706666858314506),400156,1836547.62943,1183790.13257,Traditional,HS,"9, 10, 11","821 E 103RD ST, 60628",NOBLE - BUTLER HS
POINT (-87.55620144124543 41.73462237120126),400157,1846845.19938,1196360.49292,Traditional,HS,"9, 10, 11, 12","2710 E 89TH ST, 60617",NOBLE - BAKER HS
POINT (-87.75752152784457 41.9221811558643),400159,1914758.78829,1140953.82421,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","5235 W BELDEN AVE, 60639",CHRISTOPHER HOUSE
POINT (-87.61796787063743 41.679318442476),400161,1826546.90927,1179669.25826,Traditional,HS,"3, 4, 5, 6, 7, 8, 9, 10","11816 S INDIANA AVE, 60628",CHICAGO COLLEGIATE
POINT (-87.74112862663965 41.938988427629674),400162,1920913.76614,1145372.77108,Traditional,HS,"7, 8, 9, 10, 11, 12","4540 W BELMONT AVE, 60641",INTRINSIC HS
POINT (-87.63996733091673 41.79355626721791),400163,1868124.9147,1173324.17581,Traditional,ES,"K, 5, 6, 7, 8","5515 S LOWE AVE, 60621",KIPP - BLOOM
POINT (-87.70272393872818 41.887319908674456),400165,1902160.24459,1155960.11802,Traditional,ES,"6, 7, 8","3021 W CARROLL AVE, 60612",LEARN - MIDDLE
POINT (-87.68396339328174 41.79520095247124),400167,1868630.53344,1161322.28938,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","5401 S. WESTERN, 60609",HORIZON - SOUTHWEST
POINT (-87.7596751723386 41.917266408665725),400169,1912963.92279,1140379.70036,Traditional,HS,"9, 10, 11, 12","5321 W GRAND AVE, 60639",NOBLE - ITW SPEER HS
POINT (-87.64557693593237 41.90687879459018),400170,1909407.04047,1171463.75466,Traditional,HS,"9, 10, 11, 12","1443 N OGDEN AVE, 60610",NOBLE - ACADEMY HS
POINT (-87.6535352484652 41.694670738683605),400171,1832062.41956,1169908.97529,Traditional,HS,"6, 7, 8, 9, 10, 11","1233 W. 109TH PL, 60643",FOUNDATIONS
POINT (-87.70264475134516 41.80822578510756),400173,1873338.77369,1156193.34787,Options,HS,"9, 10, 11, 12","3124 W. 47TH STREET, 60632",PATHWAYS - BRIGHTON PARK HS
POINT (-87.55648708348222 41.75974863927389),400175,1856000.29623,1196199.86661,Options,HS,"9, 10, 11, 12","7530 S SOUTH SHORE DR, 60649",CAMELOT - EXCEL SOUTH SHORE HS
POINT (-87.69073009115593 41.76592891992978),400176,1857950.15978,1159556.82637,Options,HS,"8, 9, 10, 11, 12","7014 S WASHTENAW AVE, 60629",CAMELOT - EXCEL SOUTHWEST HS
POINT (-87.57326751568073 41.73717393358173),609674,1847733.3669,1191694.2329,Traditional,HS,"9, 10, 11, 12","2100 E 87TH ST, 60617",CHICAGO VOCATIONAL HS
POINT (-87.61763743460318 41.84022557168194),609676,1885180.896,1179271.71345,Traditional,HS,"9, 10, 11, 12","3000 S KING DR, 60616",DUNBAR HS
POINT (-87.62767532291659 41.87306592282553),609678,1897125.21431,1176438.09839,Traditional,HS,"9, 10, 11, 12","700 S STATE ST, 60605",JONES HS
POINT (-87.76104831561555 41.92005939899792),609679,1913979.19339,1139999.1857,Traditional,HS,"9, 10, 11, 12","2148 N LONG AVE, 60639",PROSSER HS
POINT (-87.6353847656341 41.90157516912679),609680,1907496.80544,1174253.89869,Traditional,HS,"9, 10, 11, 12","1034 N WELLS ST, 60610",PAYTON HS
POINT (-87.66227784587741 41.80288137497483),609682,1871474.64651,1167213.75594,Traditional,HS,"9, 10, 11, 12","5009 S LAFLIN ST, 60609",RICHARDS HS
